Genes,log2foldChange,pValues,FDR
ENSG00000171320.15,2.779537917,6.38E-37,1.70E-34
ENSG00000171487.16,1.254983711,2.17E-17,1.19E-16
ENSG00000171551.12,4.415353194,0.031576737,0.041858932
ENSG00000171587.15,1.053044652,9.20E-17,4.76E-16
ENSG00000171747.9,1.010738596,1.09E-11,3.56E-11
ENSG00000171772.17,1.473653213,3.89E-09,1.02E-08
ENSG00000171848.16,1.196957021,1.61E-37,7.15E-35
ENSG00000172425.12,3.222073791,8.71E-10,2.42E-09
ENSG00000172717.17,1.225117107,1.48E-10,4.38E-10
ENSG00000172789.4,1.462844191,5.26E-05,9.47E-05
ENSG00000172969.8,2.169031047,7.59E-13,2.74E-12
ENSG00000173250.3,2.463855496,5.48E-09,1.42E-08
ENSG00000173391.9,1.34600056,2.65E-31,1.04E-29
ENSG00000173406.16,4.215897765,8.97E-05,0.000157758
ENSG00000173535.15,3.918468686,2.59E-06,5.24E-06
