"","log2foldChange","pValues","FDR"
"ENSG00000004142.12",0.08633622422751,3.68177774881859e-11,1.15099179832856e-10
"ENSG00000004399.13",-0.017822942811403,0.697290272954636,0.730017407215717
"ENSG00000004455.18",0.0995495269721636,4.51377930784725e-19,2.95942978091028e-18
"ENSG00000004468.13",0.532732861917996,7.14155666858731e-14,2.80531102180125e-13
"ENSG00000004478.8",0.188881813087889,1.29293343246774e-16,6.58292850385428e-16
"ENSG00000004487.18",0.0857549265552908,1.66597994424018e-13,6.35143205342332e-13
"ENSG00000004534.15",-0.0480253816804582,1.99510637065346e-09,5.35924921127276e-09
"ENSG00000004660.15",-0.0300455483487387,0.259165341781018,0.298067354048508
"ENSG00000004700.16",0.174942108041689,2.48941094171629e-25,3.36503847480741e-24
"ENSG00000004766.17",0.0361130666982433,0.00802006238185298,0.0114576055388613
"ENSG00000004777.19",-0.174513014884293,0.000266406090545975,0.000447943709398367
"ENSG00000004779.10",0.242609910495757,2.33336613075381e-28,5.05414354493997e-27
"ENSG00000004799.8",-0.546308955734903,3.51288402219681e-21,2.87393080407571e-20
"ENSG00000004809.14",-0.316836392787701,0.0330596458922679,0.0436925237713512
"ENSG00000004838.14",-0.474543559029258,0.0296655614406604,0.0394738583490888
"ENSG00000004848.8",0.0666527561833941,0.218234208837043,0.254098451873091
"ENSG00000004864.14",0.15684636230683,5.66548685308877e-22,5.06164134200657e-21
"ENSG00000004866.22",0.0622039191753762,0.000153362629367119,0.000264079564637261
"ENSG00000004897.12",0.0283638444609353,0.00272208226872786,0.00410689090777472
"ENSG00000004939.16",0.381248863368916,0.00244843538727891,0.00371615012684241
"ENSG00000004948.16",2.97065780675286,8.81284548395488e-10,2.44260603504771e-09
"ENSG00000004961.15",0.285337598741742,5.95459798542799e-27,1.02086905987178e-25
"ENSG00000004975.12",0.00906449332953633,0.741944820099645,0.770925861415957
"ENSG00000005001.10",1.42885337197234,2.66272439333277e-11,8.42637431571497e-11
"ENSG00000005007.14",0.0589190093359593,1.73722925318484e-08,4.2907520071213e-08
"ENSG00000005020.13",-0.0976313970973676,3.26891545815401e-05,6.00652444386782e-05
"ENSG00000005022.6",0.250577587138864,6.97396184357681e-35,7.50520644576647e-33
"ENSG00000005059.16",0.239071449489966,8.93702381581587e-21,7.03200250012541e-20
"ENSG00000005073.6",-1.12748629139738,1.91193382513626e-08,4.70595637194078e-08
"ENSG00000005075.16",0.257684845230989,1.50883555871336e-23,1.62263307928813e-22
